,fullname,team,birthdate,country,height,weight,Onedayraces,GC,Sprint,Climber,TT,Hills,UCI-Rank,rider_url
164,Ryan  Mullen,Red Bull - BORA - hansgrohe,7 August 1994,Ireland,1.89,77.0,295,224,26,0,1307,58,1607,https://www.procyclingstats.com/rider/ryan-mullen
165,Florian  Lipowitz,Red Bull - BORA - hansgrohe,21 September 2000,Germany,1.81,68.0,81,640,0,597,135,125,56,https://www.procyclingstats.com/rider/florian-lipowitz
166,Ben  Zwiehoff,Red Bull - BORA - hansgrohe,22 February 1994,Germany,1.82,61.0,120,623,6,245,48,161,393,https://www.procyclingstats.com/rider/ben-zwiehoff
167,Frederik  Wandahl,Red Bull - BORA - hansgrohe,9 May 2001,Denmark,1.78,61.0,257,224,7,158,1,251,287,https://www.procyclingstats.com/rider/frederik-wandahl
168,Patrick  Gamper,Red Bull - BORA - hansgrohe,18 February 1997,Austria,1.94,80.0,203,93,75,19,169,81,1142,https://www.procyclingstats.com/rider/patrick-gamper
169,Filip  Maciejuk,Red Bull - BORA - hansgrohe,3 September 1999,Poland,1.9,78.0,76,213,37,4,359,25,783,https://www.procyclingstats.com/rider/filip-maciejuk
170,Alexander  Hajek,Red Bull - BORA - hansgrohe,19 July 2003,Austria,1.76,55.0,70,124,0,88,15,97,311,https://www.procyclingstats.com/rider/alexander-hajek
171,Anton  Palzer,Red Bull - BORA - hansgrohe,11 March 1993,Germany,1.78,62.0,8,113,0,18,1,6,1431,https://www.procyclingstats.com/rider/anton-palzer
172,Emil  Herzog,Red Bull - BORA - hansgrohe,6 October 2004,Germany,1.84,74.0,65,20,0,18,36,28,720,https://www.procyclingstats.com/rider/emil-herzog
173,Luis-Joe  Lührs,Red Bull - BORA - hansgrohe,20 January 2003,Germany,1.79,66.0,26,15,4,2,20,10,0,https://www.procyclingstats.com/rider/luis-joe-luhrs
174,Ion  Izagirre,Cofidis,4 February 1989,Spain,1.73,60.0,1992,5391,58,4532,3014,2276,74,https://www.procyclingstats.com/rider/ion-izagirre
175,Bryan  Coquard,Cofidis,25 April 1992,France,1.71,59.0,2976,1192,3152,208,289,2402,121,https://www.procyclingstats.com/rider/bryan-coquard
176,Guillaume  Martin,Cofidis,9 June 1993,France,1.73,55.0,2305,3697,20,3775,10,1698,119,https://www.procyclingstats.com/rider/guillaume-martin
177,Ben  Hermans,Cofidis,8 June 1986,Belgium,1.86,72.0,1640,3508,16,1752,617,912,597,https://www.procyclingstats.com/rider/ben-hermans
178,Jesús  Herrada,Cofidis,26 July 1990,Spain,1.83,70.0,2021,2305,39,2036,912,1376,581,https://www.procyclingstats.com/rider/jesus-herrada-lopez
179,Gorka  Izagirre,Cofidis,7 October 1987,Spain,1.76,66.0,1422,2362,68,1924,764,1458,2477,https://www.procyclingstats.com/rider/gorka-izagirre
180,Simon  Geschke,Cofidis,13 March 1986,Germany,1.71,64.0,1572,1563,24,1657,668,1033,436,https://www.procyclingstats.com/rider/simon-geschke
181,Axel  Zingle,Cofidis,18 December 1998,France,1.73,67.0,1695,586,374,254,191,936,55,https://www.procyclingstats.com/rider/axel-zingle
182,Kenny  Elissonde,Cofidis,22 July 1991,France,1.69,52.0,287,1246,4,1348,27,324,1691,https://www.procyclingstats.com/rider/kenny-elissonde
183,Rubén  Fernández,Cofidis,1 March 1991,Spain,1.77,60.0,264,1473,24,610,133,516,694,https://www.procyclingstats.com/rider/ruben-fernandez
184,Benjamin  Thomas,Cofidis,12 September 1995,France,1.79,68.0,307,812,186,192,1109,916,276,https://www.procyclingstats.com/rider/benjamin-thomas-2
185,Aimé De Gendt,Cofidis,17 June 1994,Belgium,1.82,75.0,1001,566,388,77,117,361,467,https://www.procyclingstats.com/rider/aime-de-gendt
186,Piet  Allegaert,Cofidis,20 January 1995,Belgium,1.81,70.0,1310,142,790,19,140,424,370,https://www.procyclingstats.com/rider/piet-allegaert
187,Alexis  Gougeard,Cofidis,5 March 1993,France,1.76,70.0,585,659,80,162,556,284,1275,https://www.procyclingstats.com/rider/alexis-gougeard
188,Stanisław  Aniołkowski,Cofidis,20 January 1997,Poland,1.81,68.0,684,272,1280,26,123,392,163,https://www.procyclingstats.com/rider/stanislaw-aniolkowski
189,Jonathan  Lastra,Cofidis,3 June 1993,Spain,1.72,64.0,434,768,78,596,11,586,795,https://www.procyclingstats.com/rider/jonathan-lastra
190,Anthony  Perez,Cofidis,22 April 1991,France,1.9,70.0,590,510,47,290,290,362,677,https://www.procyclingstats.com/rider/anthony-perez
191,Stefano  Oldani,Cofidis,10 January 1998,Italy,1.78,65.0,622,291,210,300,36,986,272,https://www.procyclingstats.com/rider/stefano-oldani
192,Christophe  Noppe,Cofidis,29 November 1994,Belgium,1.76,73.0,804,28,676,0,54,109,3085,https://www.procyclingstats.com/rider/christophe-noppe
193,Milan  Fretin,Cofidis,19 March 2001,Belgium,1.82,70.0,514,92,647,48,15,212,108,https://www.procyclingstats.com/rider/milan-fretin
194,Alexis  Renard,Cofidis,1 June 1999,France,1.86,74.0,406,237,326,32,35,72,333,https://www.procyclingstats.com/rider/alexis-renard
195,Ludovic  Robeet,Cofidis,22 May 1994,Belgium,1.94,75.0,307,62,162,1,11,21,0,https://www.procyclingstats.com/rider/ludovic-robeet
196,Axel  Mariault,Cofidis,7 June 1998,France,1.69,58.0,151,111,4,68,0,252,477,https://www.procyclingstats.com/rider/axel-mariault
197,Eddy  Finé,Cofidis,20 November 1997,France,1.8,70.0,199,70,34,31,0,127,2072,https://www.procyclingstats.com/rider/eddy-fine
198,Thomas  Champion,Cofidis,8 September 1999,France,1.88,66.0,38,144,0,38,26,3,1272,https://www.procyclingstats.com/rider/thomas-champion
199,Harrison  Wood,Cofidis,14 June 2000,Great Britain,1.85,64.0,51,69,0,10,5,16,1313,https://www.procyclingstats.com/rider/harrison-wood
200,Hugo  Toumire,Cofidis,5 October 2001,France,1.8,69.0,17,74,4,24,0,8,2507,https://www.procyclingstats.com/rider/hugo-toumire
201,Nicolas  Debeaumarché,Cofidis,24 February 1998,France,1.89,75.0,55,27,26,4,0,30,3377,https://www.procyclingstats.com/rider/nicolas-debeaumarche
202,Nolann  Mahoudo,Cofidis,17 November 2002,France,1.71,61.0,43,26,42,4,0,36,1148,https://www.procyclingstats.com/rider/nolann-mahoudo
203,Edvald  Boasson Hagen,Decathlon AG2R La Mondiale Team,17 May 1987,Norway,1.8,75.0,4411,3655,1888,1012,2967,4382,2292,https://www.procyclingstats.com/rider/edvald-boasson-hagen
204,Sam  Bennett,Decathlon AG2R La Mondiale Team,16 October 1990,Ireland,1.78,73.0,2653,530,4266,130,135,1846,131,https://www.procyclingstats.com/rider/sam-bennett
205,Oliver  Naesen,Decathlon AG2R La Mondiale Team,16 September 1990,Belgium,1.84,74.0,4264,1442,738,415,49,2268,144,https://www.procyclingstats.com/rider/oliver-naesen
206,Ben  O'Connor,Decathlon AG2R La Mondiale Team,25 November 1995,Australia,1.88,67.0,741,3292,33,2948,596,853,4,https://www.procyclingstats.com/rider/ben-o-connor
207,Benoît  Cosnefroy,Decathlon AG2R La Mondiale Team,17 October 1995,France,1.8,65.0,3656,964,272,936,252,1681,40,https://www.procyclingstats.com/rider/benoit-cosnefroy
208,Andrea  Vendrame,Decathlon AG2R La Mondiale Team,20 July 1994,Italy,1.68,60.0,1681,451,365,1110,116,1861,166,https://www.procyclingstats.com/rider/andrea-vendrame
209,Aurélien  Paret-Peintre,Decathlon AG2R La Mondiale Team,27 February 1996,France,1.84,64.0,774,1389,8,1346,167,570,104,https://www.procyclingstats.com/rider/aurelien-paret-peintre
210,Dorian  Godon,Decathlon AG2R La Mondiale Team,25 May 1996,France,1.91,73.0,1359,433,160,634,303,1320,141,https://www.procyclingstats.com/rider/dorian-godon
211,Dries De Bondt,Decathlon AG2R La Mondiale Team,4 July 1991,Belgium,1.85,73.0,1596,271,891,131,1,338,526,https://www.procyclingstats.com/rider/dries-de-bondt
212,Felix  Gall,Decathlon AG2R La Mondiale Team,27 February 1998,Austria,1.8,66.0,324,1069,2,1715,95,268,110,https://www.procyclingstats.com/rider/felix-gall
213,Stan  Dewulf,Decathlon AG2R La Mondiale Team,20 December 1997,Belgium,1.76,74.0,741,608,268,204,76,461,261,https://www.procyclingstats.com/rider/stan-dewulf
214,Nans  Peters,Decathlon AG2R La Mondiale Team,12 March 1994,France,1.77,71.0,602,444,22,524,90,258,637,https://www.procyclingstats.com/rider/nans-peters
215,Larry  Warbasse,Decathlon AG2R La Mondiale Team,28 June 1990,United States,1.83,67.0,300,842,24,526,372,215,493,https://www.procyclingstats.com/rider/lawrence-warbasse
216,Victor  Lafay,Decathlon AG2R La Mondiale Team,17 January 1996,France,1.77,65.0,486,536,13,630,13,506,367,https://www.procyclingstats.com/rider/victor-lafay
217,Franck  Bonnamour,noteam,20 June 1995,France,1.8,70.0,639,396,84,508,25,556,2488,https://www.procyclingstats.com/rider/franck-bonnamour
218,Geoffrey  Bouchard,Decathlon AG2R La Mondiale Team,1 April 1992,France,1.77,63.0,131,717,3,744,13,161,2359,https://www.procyclingstats.com/rider/geoffrey-bouchard
219,Bruno  Armirail,Decathlon AG2R La Mondiale Team,11 April 1994,France,1.9,74.0,127,624,5,255,1518,208,246,https://www.procyclingstats.com/rider/bruno-armirail
220,Damien  Touzé,Decathlon AG2R La Mondiale Team,7 July 1996,France,1.74,69.0,686,312,286,30,67,376,471,https://www.procyclingstats.com/rider/damien-touze
221,Clément  Berthet,Decathlon AG2R La Mondiale Team,2 August 1997,France,1.84,68.0,449,455,0,556,17,252,203,https://www.procyclingstats.com/rider/clement-berthet
222,Paul  Lapeira,Decathlon AG2R La Mondiale Team,25 May 2000,France,1.76,64.0,646,91,118,134,32,373,80,https://www.procyclingstats.com/rider/paul-lapeira
223,Valentin  Paret-Peintre,Decathlon AG2R La Mondiale Team,14 January 2001,France,1.76,52.0,46,377,14,514,1,122,139,https://www.procyclingstats.com/rider/valentin-paret-peintre
224,Nicolas  Prodhomme,Decathlon AG2R La Mondiale Team,1 February 1997,France,1.74,62.0,145,407,13,336,14,144,347,https://www.procyclingstats.com/rider/nicolas-prodhomme
225,Pierre  Gautherat,Decathlon AG2R La Mondiale Team,16 January 2003,France,1.77,70.0,460,66,224,30,104,116,167,https://www.procyclingstats.com/rider/pierre-gautherat
226,Alex  Baudin,Decathlon AG2R La Mondiale Team,25 May 2001,France,1.83,66.0,242,475,5,256,79,302,96,https://www.procyclingstats.com/rider/alex-baudin
227,Jaakko  Hänninen,Decathlon AG2R La Mondiale Team,16 April 1997,Finland,1.77,60.0,183,178,13,74,0,32,930,https://www.procyclingstats.com/rider/jaakko-hanninen
228,Bastien  Tronchon,Decathlon AG2R La Mondiale Team,29 March 2002,France,1.85,72.0,189,108,8,112,14,146,298,https://www.procyclingstats.com/rider/bastien-tronchon
229,Sander De Pestel,Decathlon AG2R La Mondiale Team,11 October 1998,Belgium,1.84,74.0,191,28,91,1,71,56,1070,https://www.procyclingstats.com/rider/sander-de-pestel
230,Valentin  Retailleau,Decathlon AG2R La Mondiale Team,18 June 2000,France,1.81,64.0,66,33,73,28,0,127,848,https://www.procyclingstats.com/rider/valentin-retailleau
231,Jordan  Labrosse,Decathlon AG2R La Mondiale Team,15 September 2002,France,1.78,65.0,105,21,35,34,3,91,557,https://www.procyclingstats.com/rider/jordan-labrosse
232,Rui  Costa,EF Education - EasyPost,5 October 1986,Portugal,1.82,69.0,4356,6226,97,5342,1621,2674,326,https://www.procyclingstats.com/rider/rui-costa
233,Rigoberto  Urán,EF Education - EasyPost,26 January 1987,Colombia,1.73,63.0,3086,5913,60,6464,1804,2170,687,https://www.procyclingstats.com/rider/rigoberto-uran
234,Richard  Carapaz,EF Education - EasyPost,29 May 1993,Ecuador,1.7,62.0,1247,3706,88,4410,551,1520,20,https://www.procyclingstats.com/rider/richard-carapaz
235,Esteban  Chaves,EF Education - EasyPost,17 January 1990,Colombia,1.64,55.0,1211,3327,44,3770,225,1368,439,https://www.procyclingstats.com/rider/johan-esteban-chaves
236,Michael  Valgren,EF Education - EasyPost,7 February 1992,Denmark,1.79,71.0,2867,1188,84,955,453,1858,216,https://www.procyclingstats.com/rider/michael-valgren-andersen
237,Hugh  Carthy,EF Education - EasyPost,9 July 1994,Great Britain,1.91,69.0,270,2664,1,2318,407,469,943,https://www.procyclingstats.com/rider/hugh-carthy
238,Neilson  Powless,EF Education - EasyPost,3 September 1996,United States,1.83,67.0,2029,1504,188,1542,853,930,70,https://www.procyclingstats.com/rider/neilson-powless
239,Andrey  Amador,EF Education - EasyPost,29 August 1986,Costa Rica,1.8,73.0,671,1518,54,1046,1228,566,0,https://www.procyclingstats.com/rider/andrey-amador
240,Mikkel Frølich  Honoré,EF Education - EasyPost,21 January 1997,Denmark,1.85,68.0,1027,550,82,554,133,880,257,https://www.procyclingstats.com/rider/mikkel-honore
241,Ben  Healy,EF Education - EasyPost,11 September 2000,Ireland,1.75,65.0,922,482,40,604,424,392,93,https://www.procyclingstats.com/rider/ben-healy
242,Stefan  Bissegger,EF Education - EasyPost,13 September 1998,Switzerland,1.81,78.0,327,232,172,18,2232,375,190,https://www.procyclingstats.com/rider/stefan-bissegger
243,Marijn van den Berg,EF Education - EasyPost,19 July 1999,Netherlands,1.82,73.0,641,357,830,160,75,888,107,https://www.procyclingstats.com/rider/marijn-van-den-berg
244,Owain  Doull,EF Education - EasyPost,2 May 1993,Great Britain,1.81,71.0,697,513,110,117,265,430,546,https://www.procyclingstats.com/rider/owain-doull
245,Stefan de Bod,EF Education - EasyPost,17 November 1996,South Africa,1.83,66.0,174,456,44,230,711,82,1228,https://www.procyclingstats.com/rider/stefan-de-bod
246,Jefferson Alexander  Cepeda,EF Education - EasyPost,16 June 1998,Ecuador,1.64,56.0,127,638,0,430,84,62,354,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda
247,Simon  Carr,EF Education - EasyPost,29 August 1998,Great Britain,1.83,63.0,349,289,0,444,91,84,517,https://www.procyclingstats.com/rider/simon-carr
248,James  Shaw,EF Education - EasyPost,13 June 1996,Great Britain,1.79,63.0,123,538,34,374,116,226,1320,https://www.procyclingstats.com/rider/james-shaw
249,Jonas  Rutsch,EF Education - EasyPost,24 January 1998,Germany,1.97,82.0,360,299,40,54,149,215,512,https://www.procyclingstats.com/rider/jonas-rutsch
250,Andrea  Piccolo,noteam,23 March 2001,Italy,1.81,64.0,458,50,41,184,44,268,1217,https://www.procyclingstats.com/rider/andrea-piccolo
251,Georg  Steinhauser,EF Education - EasyPost,21 October 2001,Germany,1.89,65.0,200,155,0,334,106,160,165,https://www.procyclingstats.com/rider/georg-steinhauser
252,Archie  Ryan,EF Education - EasyPost,16 November 2001,Ireland,1.72,56.0,213,248,0,301,6,219,170,https://www.procyclingstats.com/rider/archie-ryan
253,Harry  Sweeny,EF Education - EasyPost,9 July 1998,Australia,1.86,75.0,142,223,63,106,159,250,636,https://www.procyclingstats.com/rider/harry-sweeny
254,Sean  Quinn,EF Education - EasyPost,10 May 2000,United States,1.87,67.0,97,278,7,176,98,249,562,https://www.procyclingstats.com/rider/sean-quinn
255,Lukas  Nerurkar,EF Education - EasyPost,14 November 2003,Great Britain,1.77,0.0,171,115,0,126,12,314,210,https://www.procyclingstats.com/rider/lukas-nerurkar
256,Darren  Rafferty,EF Education - EasyPost,1 July 2003,Ireland,1.76,65.0,116,108,1,90,123,54,285,https://www.procyclingstats.com/rider/darren-rafferty
257,Jack  Rootkin-Gray,EF Education - EasyPost,5 November 2002,Great Britain,1.78,67.0,79,32,42,29,7,54,2105,https://www.procyclingstats.com/rider/jack-rootkin-gray
258,Jardi Christiaan van der Lee,EF Education - EasyPost,6 August 2001,Netherlands,1.85,0.0,5,49,0,14,0,3,2074,https://www.procyclingstats.com/rider/jardi-christiaan-van-der-lee
259,Edvin  Lovidius,CC Étupes,2 March 2002,Sweden,1.73,70.0,7,8,16,0,52,10,1391,https://www.procyclingstats.com/rider/edvin-lovidius
260,Stefan  Küng,Groupama - FDJ,16 November 1993,Switzerland,1.93,83.0,2694,1654,396,522,5700,1622,28,https://www.procyclingstats.com/rider/stefan-kung
261,David  Gaudu,Groupama - FDJ,10 October 1996,France,1.72,53.0,1754,3021,17,3977,160,1164,52,https://www.procyclingstats.com/rider/david-gaudu
262,Valentin  Madouas,Groupama - FDJ,12 July 1996,France,1.79,71.0,3103,1202,108,1623,93,1712,42,https://www.procyclingstats.com/rider/valentin-madouas
263,Rudy  Molard,Groupama - FDJ,17 September 1989,France,1.78,62.0,1462,1651,56,1675,161,1030,177,https://www.procyclingstats.com/rider/rudy-molard
264,Marc  Sarreau,Groupama - FDJ,10 June 1993,France,1.82,76.0,1672,191,1648,16,130,336,1007,https://www.procyclingstats.com/rider/marc-sarreau
265,Quentin  Pacher,Groupama - FDJ,6 January 1992,France,1.79,62.0,811,1021,82,1030,122,1469,127,https://www.procyclingstats.com/rider/quentin-pacher
266,Ignatas  Konovalovas,Groupama - FDJ,8 December 1985,Lithuania,1.9,74.0,693,760,2,80,1344,134,0,https://www.procyclingstats.com/rider/ignatas-konovalovas
267,Sven Erik  Bystrøm,Groupama - FDJ,21 January 1992,Norway,1.88,73.0,783,759,117,340,111,663,1689,https://www.procyclingstats.com/rider/sven-erik-bystrom
268,Romain  Grégoire,Groupama - FDJ,21 January 2003,France,1.76,64.0,821,586,40,594,214,826,54,https://www.procyclingstats.com/rider/romain-gregoire1
269,Lenny  Martinez,Groupama - FDJ,11 July 2003,France,1.68,52.0,758,551,0,912,165,198,62,https://www.procyclingstats.com/rider/lenny-martinez
270,Paul  Penhoët,Groupama - FDJ,28 December 2001,France,1.73,64.0,675,252,687,30,4,392,189,https://www.procyclingstats.com/rider/paul-penhoet
271,Laurence  Pithie,Groupama - FDJ,17 July 2002,New Zealand,1.85,74.0,919,106,528,36,53,446,60,https://www.procyclingstats.com/rider/laurence-pithie
272,Olivier Le Gac,Groupama - FDJ,27 August 1993,France,1.8,70.0,687,410,118,84,4,171,0,https://www.procyclingstats.com/rider/olivier-le-gac
273,Kevin  Geniets,Groupama - FDJ,9 January 1997,Luxembourg,1.93,73.0,564,360,48,232,216,270,282,https://www.procyclingstats.com/rider/kevin-geniets
274,Fabian  Lienhard,Groupama - FDJ,3 September 1993,Switzerland,1.83,73.0,727,178,298,18,27,334,1022,https://www.procyclingstats.com/rider/fabian-lienhard
275,Rémy  Rochas,Groupama - FDJ,18 May 1996,France,1.64,51.0,222,652,8,385,88,382,574,https://www.procyclingstats.com/rider/remy-rochas
276,Clément  Russo,Groupama - FDJ,20 January 1995,France,1.87,73.0,450,236,291,4,42,281,586,https://www.procyclingstats.com/rider/clement-russo
277,Lewis  Askey,Groupama - FDJ,4 May 2001,Great Britain,1.87,75.0,519,79,160,37,11,316,380,https://www.procyclingstats.com/rider/lewis-askey
278,Cyril  Barthe,Groupama - FDJ,14 February 1996,France,1.84,70.0,228,296,248,95,6,412,1693,https://www.procyclingstats.com/rider/cyril-barthe
279,Samuel  Watson,Groupama - FDJ,24 September 2001,Great Britain,1.86,68.0,254,216,193,33,246,215,372,https://www.procyclingstats.com/rider/samuel-watson
280,Matthew  Walls,Groupama - FDJ,20 April 1998,Great Britain,1.77,72.0,200,23,424,10,43,90,2610,https://www.procyclingstats.com/rider/matthew-walls
281,Reuben  Thompson,Groupama - FDJ,15 February 2001,New Zealand,1.83,66.0,50,202,1,124,10,59,981,https://www.procyclingstats.com/rider/reuben-thompson
282,Lars van den Berg,Groupama - FDJ,7 July 1998,Netherlands,1.85,72.0,99,80,21,77,30,126,2747,https://www.procyclingstats.com/rider/lars-van-den-berg
283,Enzo  Paleni,Groupama - FDJ,30 May 2002,France,1.8,65.0,35,96,35,37,109,96,534,https://www.procyclingstats.com/rider/enzo-paleni
284,Lorenzo  Germani,Groupama - FDJ,3 March 2002,Italy,1.8,66.0,53,110,6,38,59,56,1822,https://www.procyclingstats.com/rider/lorenzo-germani
285,Clément  Davy,Groupama - FDJ,17 July 1998,France,1.83,73.0,35,80,4,0,156,16,0,https://www.procyclingstats.com/rider/clement-davy
286,Thibaud  Gruel,Groupama - FDJ,1 May 2004,France,1.8,70.0,99,29,41,51,40,160,459,https://www.procyclingstats.com/rider/thibaud-gruel
287,Eddy Le Huitouze,Groupama - FDJ,3 April 2003,France,1.84,72.0,4,36,30,0,88,0,723,https://www.procyclingstats.com/rider/eddy-le-huitouze
288,Bauke  Mollema,Lidl - Trek,26 November 1986,Netherlands,1.84,64.0,5208,5958,179,7428,2074,4064,125,https://www.procyclingstats.com/rider/bauke-mollema
289,Mads  Pedersen,Lidl - Trek,18 December 1995,Denmark,1.8,70.0,3782,1398,2462,340,1697,2722,12,https://www.procyclingstats.com/rider/mads-pedersen
290,Jasper  Stuyven,Lidl - Trek,17 April 1992,Belgium,1.87,78.0,4613,1309,1600,697,284,3266,100,https://www.procyclingstats.com/rider/jasper-stuyven
291,Patrick  Konrad,Lidl - Trek,13 October 1991,Austria,1.81,64.0,1466,2492,87,2646,452,1592,286,https://www.procyclingstats.com/rider/patrick-konrad
292,Edward  Theuns,Lidl - Trek,30 April 1991,Belgium,1.83,72.0,2592,666,1531,26,131,996,629,https://www.procyclingstats.com/rider/edward-theuns
293,Fabio  Felline,Lidl - Trek,29 March 1990,Italy,1.75,68.0,1774,1457,98,1294,1243,1285,2372,https://www.procyclingstats.com/rider/fabio-felline
294,Toms  Skujiņš,Lidl - Trek,15 June 1991,Latvia,1.81,70.0,2683,937,92,1260,350,1258,27,https://www.procyclingstats.com/rider/toms-skujins
295,Giulio  Ciccone,Lidl - Trek,20 December 1994,Italy,1.76,58.0,1296,1523,2,3316,90,912,61,https://www.procyclingstats.com/rider/giulio-ciccone
296,Mattias  Skjelmose,Lidl - Trek,26 September 2000,Denmark,1.8,65.0,1031,2105,119,1979,1038,1223,18,https://www.procyclingstats.com/rider/mattias-skjelmose-jensen
297,Tao  Geoghegan Hart,Lidl - Trek,30 March 1995,Great Britain,1.83,65.0,261,2574,44,2052,893,586,498,https://www.procyclingstats.com/rider/tao-geoghegan-hart
298,Dario  Cataldo,Lidl - Trek,17 March 1985,Italy,1.75,64.0,665,1660,26,1706,1171,602,0,https://www.procyclingstats.com/rider/dario-cataldo
299,Simone  Consonni,Lidl - Trek,12 September 1994,Italy,1.65,60.0,1571,338,1270,82,25,1438,241,https://www.procyclingstats.com/rider/simone-consonni
300,Sam  Oomen,Lidl - Trek,15 August 1995,Netherlands,1.77,65.0,486,1855,20,1298,197,662,452,https://www.procyclingstats.com/rider/sam-oomen
301,Carlos  Verona,Lidl - Trek,4 November 1992,Spain,1.86,68.0,462,1471,6,1162,21,344,335,https://www.procyclingstats.com/rider/carlos-verona
302,Ryan  Gibbons,Lidl - Trek,13 August 1994,South Africa,1.82,70.0,926,513,520,320,411,1004,308,https://www.procyclingstats.com/rider/ryan-gibbons
303,Jonathan  Milan,Lidl - Trek,1 October 2000,Italy,1.93,84.0,386,105,930,46,265,986,17,https://www.procyclingstats.com/rider/jonathan-milan
304,Andrea  Bagioli,Lidl - Trek,23 March 1999,Italy,1.76,60.0,1215,330,8,972,113,994,454,https://www.procyclingstats.com/rider/andrea-bagioli
305,Alex  Kirsch,Lidl - Trek,12 June 1992,Luxembourg,1.94,78.0,617,491,327,127,705,462,278,https://www.procyclingstats.com/rider/alex-kirsch
306,Natnael  Tesfatsion,Lidl - Trek,23 May 1999,Eritrea,1.75,60.0,571,567,215,470,5,788,195,https://www.procyclingstats.com/rider/natnael-tesfatsion
307,Amanuel  Ghebreigzabhier,Lidl - Trek,17 August 1994,Eritrea,1.87,68.0,510,619,18,557,230,206,895,https://www.procyclingstats.com/rider/amanuel-ghebreigzabhier
308,Tim  Declercq,Lidl - Trek,21 March 1989,Belgium,1.9,78.0,750,475,137,52,26,90,1894,https://www.procyclingstats.com/rider/tim-declercq
309,Thibau  Nys,Lidl - Trek,12 November 2002,Belgium,1.76,64.0,296,304,196,430,56,630,112,https://www.procyclingstats.com/rider/thibau-nys
310,Mathias  Vacek,Lidl - Trek,12 June 2002,Czech Republic,1.88,75.0,389,372,168,162,554,263,68,https://www.procyclingstats.com/rider/mathias-vacek
311,Juan Pedro  López,Lidl - Trek,31 July 1997,Spain,1.7,60.0,59,878,2,690,17,81,250,https://www.procyclingstats.com/rider/juan-pedro-lopez
312,Julien  Bernard,Lidl - Trek,17 March 1992,France,1.76,60.0,231,773,22,382,43,272,330,https://www.procyclingstats.com/rider/julien-bernard
313,Jacopo  Mosca,Lidl - Trek,29 August 1993,Italy,1.73,65.0,278,543,147,238,69,588,1893,https://www.procyclingstats.com/rider/jacopo-mosca
314,Quinn  Simmons,Lidl - Trek,8 May 2001,United States,1.85,72.0,459,474,87,398,38,498,251,https://www.procyclingstats.com/rider/quinn-simmons
315,Daan  Hoole,Lidl - Trek,22 February 1999,Netherlands,1.98,81.4,193,116,47,16,715,80,587,https://www.procyclingstats.com/rider/daan-hoole
316,Otto  Vergaerde,Lidl - Trek,15 July 1994,Belgium,1.81,74.0,209,152,60,18,12,71,2078,https://www.procyclingstats.com/rider/otto-vergaerde
317,Nairo  Quintana,Movistar Team,4 February 1990,Colombia,1.67,59.0,805,9391,34,7860,1274,1932,323,https://www.procyclingstats.com/rider/nairo-quintana
318,Enric  Mas,Movistar Team,7 January 1995,Spain,1.77,61.0,962,4533,13,5392,666,1276,11,https://www.procyclingstats.com/rider/enric-mas
319,Fernando  Gaviria,Movistar Team,19 August 1994,Colombia,1.81,71.0,1835,211,3864,116,85,1844,135,https://www.procyclingstats.com/rider/fernando-gaviria
320,Davide  Formolo,Movistar Team,25 October 1992,Italy,1.82,62.0,1607,2372,11,2664,166,1302,270,https://www.procyclingstats.com/rider/davide-formolo
321,Alex  Aranburu,Movistar Team,19 September 1995,Spain,1.78,63.0,2069,822,376,1464,301,2224,48,https://www.procyclingstats.com/rider/alex-aranburu
322,Nelson  Oliveira,Movistar Team,6 March 1989,Portugal,1.8,67.0,610,1199,24,544,3770,878,304,https://www.procyclingstats.com/rider/nelson-oliveira
323,Davide  Cimolai,Movistar Team,13 August 1989,Italy,1.81,70.0,1182,595,1018,141,6,1472,314,https://www.procyclingstats.com/rider/davide-cimolai
324,Ruben  Guerreiro,Movistar Team,6 July 1994,Portugal,1.78,65.0,724,1507,111,1652,36,1200,355,https://www.procyclingstats.com/rider/ruben-guerreiro
325,Iván  García Cortina,Movistar Team,20 November 1995,Spain,1.83,77.0,1660,308,748,278,110,1443,473,https://www.procyclingstats.com/rider/ivan-garcia-cortina
326,Rémi  Cavagna,Movistar Team,10 August 1995,France,1.86,78.0,454,956,112,294,2630,718,1871,https://www.procyclingstats.com/rider/remi-cavagna
327,Iván Ramiro  Sosa,Movistar Team,31 October 1997,Colombia,1.68,52.0,248,1595,4,1114,0,164,465,https://www.procyclingstats.com/rider/ivan-ramiro-sosa
328,Gregor  Mühlberger,Movistar Team,4 April 1994,Austria,1.8,64.0,838,791,74,931,239,454,273,https://www.procyclingstats.com/rider/gregor-muhlberger
329,Einer  Rubio,Movistar Team,22 February 1998,Colombia,1.64,56.0,150,1307,6,1413,61,295,122,https://www.procyclingstats.com/rider/einer-rubio
330,Gonzalo  Serrano,Movistar Team,17 August 1994,Spain,1.77,65.0,685,478,150,398,58,878,799,https://www.procyclingstats.com/rider/gonzalo-serrano
331,Antonio  Pedrero,Movistar Team,23 October 1991,Spain,1.77,60.0,186,791,2,819,14,223,1672,https://www.procyclingstats.com/rider/antonio-pedrero
332,Oier  Lazkano,Movistar Team,7 November 1999,Spain,1.89,74.0,439,436,66,244,195,366,142,https://www.procyclingstats.com/rider/oier-lazkano
333,Will  Barta,Movistar Team,4 January 1996,United States,1.8,61.0,68,456,0,166,679,314,538,https://www.procyclingstats.com/rider/william-barta
